,0,1
0,-32,8
1,-29,7
2,-27,7
3,-24,8
4,-21,9
5,-17,9
6,-14,9
7,-10,9
8,-5,10
9,-1,11
10,3,12
11,9,15
12,17,17
13,26,22
14,38,25
15,49,27
16,59,28
17,66,29
18,69,29
19,69,26
20,66,23
21,60,18
22,54,12
23,47,7
24,39,3
25,31,0
26,24,0
27,17,-2
28,10,-4
29,6,-7
30,2,-9
31,0,-10
32,-3,-9
33,-5,-8
34,-7,-8
35,-8,-5
36,-7,-4
37,-6,-4
38,-5,-5
39,-3,-5
40,0,-4
41,3,-3
42,3,-3
43,3,-5
44,3,-11
45,2,-12
46,-1,-10
47,-7,-6
48,-14,-9
49,-20,-7
50,-26,-6
51,-30,-4
52,-31,-4
53,-32,-3
54,-32,-4
55,-36,-5
56,-42,-3
57,-32,12
58,10,35
59,77,57
60,127,59
61,122,19
62,75,-79
63,28,-141
64,0,-111
65,-15,-56
66,-26,-21
67,-34,-5
68,-37,0
69,-39,0
70,-38,1
71,-36,3
72,-33,3
73,-30,3
74,-27,3
75,-24,3
76,-20,3
77,-17,5
78,-15,3
79,-11,6
80,-6,7
81,-2,9
82,0,10
83,4,13
84,10,18
85,17,21
86,24,24
87,34,26
88,43,31
89,51,34
90,55,34
91,56,32
92,53,29
93,49,25
94,44,21
95,37,14
96,30,10
97,22,5
98,16,2
99,10,0
100,5,0
101,2,0
102,0,0
103,-4,-2
104,-7,-3
105,-10,-4
106,-12,-5
107,-13,-5
108,-13,-6
109,-12,-5
110,-10,-5
111,-7,-6
112,-4,-5
113,0,-3
114,2,-3
115,3,-6
116,2,-9
117,0,-10
118,-4,-7
119,-9,-6
120,-16,-6
121,-22,-8
122,-28,-6
123,-32,-5
124,-32,-3
125,-32,-2
126,-33,-2
127,-39,-6
128,-49,-7
129,-44,5
130,-1,33
131,74,67
132,132,76
133,125,54
134,72,-75
135,21,-141
136,-5,-102
137,-20,-49
138,-30,-18
139,-37,-3
140,-39,0
141,-39,1
142,-38,2
143,-36,3
144,-34,3
145,-31,4
146,-28,3
147,-26,5
148,-23,5
149,-19,6
150,-15,6
151,-11,6
152,-7,7
153,-3,8
154,0,11
155,4,13
156,10,16
157,16,19
158,23,24
159,32,26
160,41,29
161,47,31
162,51,32
163,51,32
164,49,28
165,45,26
