,0,1
0,9,-1
1,11,-16
2,16,-31
3,13,-49
4,18,-66
5,22,-79
6,18,-79
7,10,-104
8,6,-115
9,1,-110
10,-4,-103
11,-7,-97
12,-11,-91
13,-22,-96
14,-22,-80
15,-17,-65
16,-12,-52
17,-18,-43
18,-20,-45
19,-17,-43
20,-17,-42
21,-15,-47
22,-14,-47
23,-19,-48
24,-20,-43
25,-20,-33
26,-20,-32
27,-18,-19
28,-16,-9
29,-7,-16
30,1,-10
31,5,0
32,5,20
33,-3,58
34,-17,52
35,-19,52
36,-32,43
37,-33,21
38,-31,-7
39,-35,-39
40,-45,-63
41,-50,-80
42,-50,-76
43,-46,-72
44,-46,-76
45,-45,-92
46,-53,-96
47,-49,-79
48,-46,-80
49,-48,-73
50,-48,-77
51,-50,-81
52,-38,-53
53,-113,-38
54,-286,72
55,-334,256
56,-311,45
57,-240,-140
58,-132,-183
59,-93,-205
60,-38,-141
61,-9,-78
62,-9,-26
63,-7,-13
64,-12,-4
65,-5,-4
66,-5,6
67,-8,-4
68,-6,-2
69,-3,0
70,-1,3
71,0,-4
72,0,-21
73,3,-26
74,6,-28
75,9,-31
76,8,-51
77,8,-75
78,7,-93
79,5,-99
80,11,-108
81,5,-112
82,-1,-128
83,-17,-137
84,-20,-121
85,-20,-109
86,-24,-102
87,-25,-85
88,-28,-88
89,-25,-82
90,-24,-62
91,-20,-48
92,-16,-44
93,-17,-48
94,-17,-48
95,-17,-38
96,-15,-33
97,-17,-23
98,-16,-24
99,-21,-34
100,-18,-32
101,-17,-28
102,-10,-18
103,2,3
104,9,-4
105,9,-2
106,5,28
107,-5,61
108,-15,67
109,-22,54
110,-29,31
111,-31,9
112,-24,-14
113,-29,-45
114,-36,-65
115,-37,-85
116,-41,-85
117,-37,-82
118,-38,-77
119,-39,-75
120,-40,-77
121,-40,-82
122,-41,-79
123,-37,-73
124,-40,-65
125,-37,-58
126,-53,-68
127,-227,-72
128,-356,28
129,-371,143
130,-341,-122
131,-247,-181
132,-136,-205
133,-56,-166
134,-4,-114
135,5,-49
136,5,-7
137,0,-9
138,7,-3
139,7,5
140,11,13
141,14,15
142,14,11
143,15,7
144,24,8
145,25,11
146,25,7
147,29,1
148,34,-15
149,39,-26
150,40,-30
151,42,-36
152,40,-47
153,36,-67
154,34,-74
155,37,-74
156,34,-68
157,22,-67
158,15,-68
159,10,-63
160,7,-54
161,2,-41
162,1,-29
163,-1,-30
164,-1,-36
